
[detectors]
shape = (0,)
dtype = [('system_code', '<i4'), ('detector_index', '<i4'), ('x', '<f8'), ('y', '<f8'), ('z', '<f8'), ('label', 'O'), ('panel', '<i4')]
[]

[muon_truth]
shape = (100,)
dtype = [('event_id', '<i8'), ('pos_x', '<f4'), ('pos_y', '<f4'), ('pos_z', '<f4'), ('t0', '<f4'), ('dir_x', '<f4'), ('dir_y', '<f4'), ('dir_z', '<f4'), ('theta_deg', '<f4'), ('phi_deg', '<f4'), ('track_length_mm', '<f4'), ('n_generated', '<i4'), ('n_detected', '<i4'), ('n_generated_ckv', '<i4'), ('n_generated_sci', '<i4'), ('n_detected_ckv', '<i4'), ('n_detected_sci', '<i4')]
 (47,   300., 0.,  900., 0., 0., 1., 0., 90., 90., 1568.8898, 23550, 0, 23550, 0, 0, 0)
 (48,   300., 0., 1200., 0., 0., 1., 0., 90., 90., 1568.8898, 23550, 0, 23550, 0, 0, 0)
 (49,   300., 0., 1500., 0., 0., 1., 0., 90., 90., 1568.8898, 23550, 0, 23550, 0, 0, 0)
 (50,   300., 0., 1800., 0., 0., 1., 0., 90., 90., 1568.8898, 23550, 0, 23550, 0, 0, 0)
 (51,   300., 0., 2100., 0., 0., 1., 0., 90., 90., 1568.8898, 23550, 0, 23550, 0, 0, 0)
 (52,   300., 0., 2400., 0., 0., 1., 0., 90., 90., 1568.8898, 23550, 0, 23550, 0, 0, 0)
 (53,   300., 0., 2700., 0., 0., 1., 0., 90., 90., 1568.8898, 23550, 0, 23550, 0, 0, 0)
 (54,   600., 0.,  300., 0., 0., 1., 0., 90., 90., 1470.9657, 22200, 0, 22200, 0, 0, 0)
 (55,   600., 0.,  600., 0., 0., 1., 0., 90., 90., 1470.9657, 22200, 0, 22200, 0, 0, 0)
 (56,   600., 0.,  900., 0., 0., 1., 0., 90., 90., 1470.9657, 22200, 0, 22200, 0, 0, 0)
 (57,   600., 0., 1200., 0., 0., 1., 0., 90., 90., 1470.9657, 22200, 0, 22200, 0, 0, 0)
 (58,   600., 0., 1500., 0., 0., 1., 0., 90., 90., 1470.9657, 22200, 0, 22200, 0, 0, 0)
 (59,   600., 0., 1800., 0., 0., 1., 0., 90., 90., 1470.9657, 22200, 0, 22200, 0, 0, 0)
 (60,   600., 0., 2100., 0., 0., 1., 0., 90., 90., 1470.9657, 22200, 0, 22200, 0, 0, 0)
 (61,   600., 0., 2400., 0., 0., 1., 0., 90., 90., 1470.9657, 22200, 0, 22200, 0, 0, 0)
 (62,   600., 0., 2700., 0., 0., 1., 0., 90., 90., 1470.9657, 22200, 0, 22200, 0, 0, 0)
 (63,   900., 0.,  300., 0., 0., 1., 0., 90., 90., 1291.3617, 19500, 0, 19500, 0, 0, 0)
 (64,   900., 0.,  600., 0., 0., 1., 0., 90., 90., 1291.3617, 19500, 0, 19500, 0, 0, 0)
 (65,   900., 0.,  900., 0., 0., 1., 0., 90., 90., 1291.3617, 19500, 0, 19500, 0, 0, 0)
 (66,   900., 0., 1200., 0., 0., 1., 0., 90., 90., 1291.3617, 19500, 0, 19500, 0, 0, 0)
 (67,   900., 0., 1500., 0., 0., 1., 0., 90., 90., 1291.3617, 19500, 0, 19500, 0, 0, 0)
 (68,   900., 0., 1800., 0., 0., 1., 0., 90., 90., 1291.3617, 19500, 0, 19500, 0, 0, 0)
 (69,   900., 0., 2100., 0., 0., 1., 0., 90., 90., 1291.3617, 19500, 0, 19500, 0, 0, 0)
